State,Year,Aggravated assault,All other offenses (except traffic),Arson,Burglary,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",
TEXAS,2009,23622,340401,663,20432,11644,40885,93856,144329,139684,492,1908,7768,12843,688,117211,28517,5212,823,5271,116411,24280041,143518,8604,8330,12162,4139,901,0,1174813,2530,14122,34683,11365,
UTAH,2009,1484,45602,113,1471,1375,5839,7805,11224,5123,28,191,1062,1171,53,18657,11099,436,37,2010,11915,2747172,20677,550,515,593,886,795,0,135850,215,4293,2227,1308,
VERMONT,2009,447,3310,19,351,0,830,3396,1433,5,48,61,76,316,0,1676,686,101,6,361,1794,605536,2147,7,25,2,41,146,0,15630,0,469,539,24,
VIRGINIA,2009,4205,107897,279,4304,2221,5575,27623,29780,32711,1660,300,2229,8195,89,29782,11864,919,267,1484,37837,7481379,35284,848,1866,3707,1063,991,0,326202,173,4621,6638,3712,
WASHINGTON,2009,4868,69313,243,4453,30,4542,16421,16561,6,100,620,1459,1007,3,26871,9738,1204,138,702,26202,5880479,32771,795,1954,1446,988,2215,0,200290,52,5981,7580,2378,
WEST VIRGINIA,2009,1153,13475,28,791,65,1041,4780,6167,3753,109,63,383,764,12,5016,1803,180,42,74,5841,925274,6015,125,201,36,169,254,0,47529,11,888,1459,305,
WISCONSIN,2009,5157,106694,185,4449,5492,58992,38215,24446,0,225,633,1340,5069,214,34590,36051,1241,142,2602,18164,5389299,40465,371,1589,3281,2600,1664,0,369962,3111,9481,7521,3964,
WYOMING,2009,488,11643,12,286,479,1329,6662,2807,2700,13,43,114,225,3,2645,3934,118,16,215,3370,539500,3061,14,30,406,164,63,30,38737,50,765,577,113,
ALABAMA  ,2008,3823,81944,127,4110,32,4862,14991,16488,11087,153,356,1818,8381,58,19192,6077,1067,315,1055,26590,4772968,24496,260,2047,359,582,2295,0,212192,300,2277,6541,1546,
ALASKA,2008,1770,15379,46,457,1,836,5538,1716,108,106,54,87,275,0,3337,1692,268,22,320,4076,666481,4108,159,275,337,166,38,4,38294,3,879,2121,345,
ARIZONA,2008,6687,94437,262,5086,5066,18150,39746,34242,12,322,185,3207,2352,7,33963,29984,2593,310,3026,25778,6414715,41904,1602,2044,5223,1773,1285,0,334238,1535,11680,9226,3681,
ARKANSAS,2008,3814,56920,61,2992,772,3664,11707,11513,10454,54,194,937,3351,24,11967,2224,417,118,117,9701,2403738,15437,316,623,523,194,1224,113,138372,1200,1848,4749,1330,
CALIFORNIA ,2008,98906,358577,1487,56409,17697,15362,214828,268763,121180,2159,2088,9078,10294,615,95447,19649,17203,1850,380,93284,36555329,170546,13385,22391,4226,14502,18831,0,1547811,4364,33056,125235,31800,
COLORADO ,2008,4674,77600,226,2993,1844,11573,28198,17851,204,250,453,1025,2433,7,20936,15108,1298,155,2991,14746,4359586,25453,618,926,5056,903,760,10,221175,211,6072,6208,2054,
CONNECTICUT,2008,4335,28752,118,2846,48,15758,8235,16132,0,181,244,789,1471,37,13466,1443,711,110,1154,20336,3226747,17141,523,1245,15,579,433,0,123405,44,3001,5934,1399,
