state,state_abbr,latitude,longitude,date,funding
New Hampshire,NH,43.4108,-71.5653,2007-12-31,479709023.6297827
New Jersey,NJ,40.314,-74.5089,2007-12-31,2302794768.1811304
New Mexico,NM,34.8375,-106.2371,2007-12-31,737216000.3221716
New York,NY,42.1497,-74.9384,2007-12-31,8514733209.860519
North Carolina,NC,35.6411,-79.8431,2007-12-31,2712595649.9143333
North Dakota,ND,47.5362,-99.793,2007-12-31,338478195.27664554
Ohio,OH,40.3736,-82.7755,2007-12-31,4439000194.211112
Oklahoma,OK,35.5376,-96.9247,2007-12-31,1369915636.7395148
Oregon,OR,44.5672,-122.1269,2007-12-31,1372901433.4721508
Pennsylvania,PA,40.5773,-77.264,2007-12-31,5586045204.878926
Rhode Island,RI,41.6772,-71.5101,2007-12-31,607021205.2938986
South Carolina,SC,33.8191,-80.9066,2007-12-31,1486225056.0821364
South Dakota,SD,44.2853,-99.4632,2007-12-31,401770417.2048669
Tennessee,TN,35.7449,-86.7489,2007-12-31,2132145239.9699438
Texas,TX,31.106,-97.6475,2007-12-31,7953251576.877334
Utah,UT,40.1135,-111.8535,2007-12-31,807844964.864002
Vermont,VT,44.0407,-72.7093,2007-12-31,382073087.9937973
Virginia,VA,37.768,-78.2057,2007-12-31,2668430090.704709
Washington,WA,47.3917,-121.5708,2007-12-31,1775557207.2663503
West Virginia,WV,38.468,-80.9696,2007-12-31,813660993.2385359
Wisconsin,WI,44.2563,-89.6385,2007-12-31,1867581068.2729087
Wyoming,WY,42.7475,-107.2085,2007-12-31,218406197.33687085
Alabama,AL,32.799,-86.8073,2008-12-31,1986869435.5606759
Alaska,AK,61.385,-152.2683,2008-12-31,318560716.1748154
Arizona,AZ,33.7712,-111.3877,2008-12-31,6375493472.002057
Arkansas,AR,34.9513,-92.3809,2008-12-31,1046683516.9065185
California,CA,36.17,-119.7462,2008-12-31,12912570107.967741
Colorado,CO,39.0646,-105.3272,2008-12-31,2200548161.3068852
Connecticut,CT,41.5834,-72.7622,2008-12-31,1150836530.7865043
Delaware,DE,39.3498,-75.5148,2008-12-31,362014919.07252324
District of Columbia,DC,38.9072,-77.037,2008-12-31,927957391.4116604
Florida,FL,27.8333,-81.717,2008-12-31,6744987113.8798485
Georgia,GA,32.9866,-83.6487,2008-12-31,3907401173.2999687
Hawaii,HI,21.1098,-157.5311,2008-12-31,353191297.8982313
Idaho,ID,44.2394,-114.5103,2008-12-31,562589289.008841
Illinois,IL,40.3363,-89.0022,2008-12-31,5813116522.846838
Indiana,IN,39.8647,-86.2604,2008-12-31,2663698921.9775233
Iowa,IA,42.0046,-93.214,2008-12-31,2276849747.888604
Kansas,KS,38.5111,-96.8005,2008-12-31,1114729744.044178
Kentucky,KY,37.669,-84.6514,2008-12-31,1739805781.3224006
Louisiana,LA,31.1801,-91.8749,2008-12-31,1734100593.0742474
Maine,ME,44.6074,-69.3977,2008-12-31,478196984.58579665
Maryland,MD,39.0724,-76.7902,2008-12-31,1914689257.6423488
Massachusetts,MA,42.2373,-71.5314,2008-12-31,3153444000.595341
Michigan,MI,43.3504,-84.5603,2008-12-31,4795022744.977551
Minnesota,MN,45.7326,-93.9196,2008-12-31,2973502579.962306
Mississippi,MS,32.7673,-89.6812,2008-12-31,1302401255.492445
Missouri,MO,38.4623,-92.302,2008-12-31,2659692755.0352917
Montana,MT,46.9048,-110.3261,2008-12-31,390295347.34859556
Nebraska,NE,41.1289,-98.2883,2008-12-31,811008585.7071283
Nevada,NV,38.4199,-117.1219,2008-12-31,604407231.6094191
New Hampshire,NH,43.4108,-71.5653,2008-12-31,505989489.0445565
New Jersey,NJ,40.314,-74.5089,2008-12-31,2569965494.436418
New Mexico,NM,34.8375,-106.2371,2008-12-31,784943743.4451177
New York,NY,42.1497,-74.9384,2008-12-31,9170530970.21609
North Carolina,NC,35.6411,-79.8431,2008-12-31,2987459791.3119984
North Dakota,ND,47.5362,-99.793,2008-12-31,347491309.7391321
Ohio,OH,40.3736,-82.7755,2008-12-31,4977033576.553141
Oklahoma,OK,35.5376,-96.9247,2008-12-31,1460048449.925291
Oregon,OR,44.5672,-122.1269,2008-12-31,1570400632.407875
Pennsylvania,PA,40.5773,-77.264,2008-12-31,5782155092.401718
Rhode Island,RI,41.6772,-71.5101,2008-12-31,672191792.5817766
South Carolina,SC,33.8191,-80.9066,2008-12-31,1594238879.3544283
South Dakota,SD,44.2853,-99.4632,2008-12-31,416833841.02714324
Tennessee,TN,35.7449,-86.7489,2008-12-31,2291867545.2822094
Texas,TX,31.106,-97.6475,2008-12-31,8419664869.473316
Utah,UT,40.1135,-111.8535,2008-12-31,851623835.141402
Vermont,VT,44.0407,-72.7093,2008-12-31,392882307.668399
Virginia,VA,37.768,-78.2057,2008-12-31,2930408742.574581
Washington,WA,47.3917,-121.5708,2008-12-31,1960404300.3243527
West Virginia,WV,38.468,-80.9696,2008-12-31,951378317.5085075
Wisconsin,WI,44.2563,-89.6385,2008-12-31,1995660622.59787
Wyoming,WY,42.7475,-107.2085,2008-12-31,224783405.1496553
Alabama,AL,32.799,-86.8073,2009-12-31,2472093599.4639006
Alaska,AK,61.385,-152.2683,2009-12-31,347373459.52648604
Arizona,AZ,33.7712,-111.3877,2009-12-31,8052788118.099042
Arkansas,AR,34.9513,-92.3809,2009-12-31,1303196239.4857664
California,CA,36.17,-119.7462,2009-12-31,15405843838.274593
Colorado,CO,39.0646,-105.3272,2009-12-31,2742721575.5445404
Connecticut,CT,41.5834,-72.7622,2009-12-31,1385394653.5959215
Delaware,DE,39.3498,-75.5148,2009-12-31,433831127.23378223
District of Columbia,DC,38.9072,-77.037,2009-12-31,1141626722.7769148
Florida,FL,27.8333,-81.717,2009-12-31,8511101401.107056
